method,benchmark,dataset_source,year_added,num_complexes,avg_iRMSD,tm_score,top1_success_rate,top10_success_rate,interaction_confidence,notes
Molecular_Docking,Static,DBv5,2016,230,2.1,0.71,0.42,0.68,0.61,Well-tuned on traditional benchmarks
Molecular_Docking,Dynamic,PDB-REDO,2024,180,3.4,0.59,0.27,0.49,0.54,Performance drop on novel interfaces

Template_Based_Docking,Static,DBv5,2016,230,1.9,0.74,0.46,0.71,0.64,Template availability boosts performance
Template_Based_Docking,Dynamic,PDB-REDO,2024,180,3.1,0.61,0.31,0.53,0.57,Reduced template coverage impacts results

AlphaFold2_Complex,Static,DBv5,2016,230,1.4,0.82,0.63,0.84,0.78,Strong generalization on known folds
AlphaFold2_Complex,Dynamic,PDB-REDO,2024,180,2.6,0.69,0.44,0.67,0.66,Novel interaction modes reduce accuracy

Automated_PPI_Pipeline,Static,PPI4DOCK,2019,300,NA,NA,0.58,0.76,0.81,Association-based inference
Automated_PPI_Pipeline,Dynamic,PDB,2024,250,NA,NA,0.41,0.62,0.69,Lower confidence for unseen interactions

Automated_PPI_Pipeline,Static,Astex,2018,200,NA,NA,0.61,0.79,0.83,Strong on curated datasets
Automated_PPI_Pipeline,Dynamic,PDB-REDO,2024,180,NA,NA,0.39,0.60,0.68,Generalization gap exposed
